X, A, rho, T, V, p, mDot, M
2.25, 2.238, 0.636,0.943, 0.436, 0.599,0.621, 0.45
2.275, 2.321, 0.643,0.947, 0.414, 0.609,0.618, 0.425
2.3, 2.408, 0.647,0.949, 0.398, 0.614,0.62, 0.409
2.325, 2.497, 0.652,0.952, 0.38, 0.621,0.619, 0.389
2.35, 2.59, 0.656,0.955, 0.365, 0.626,0.62, 0.374
2.375, 2.684, 0.66,0.957, 0.35, 0.631,0.619, 0.357
2.4, 2.782, 0.663,0.959, 0.336, 0.635,0.619, 0.343
2.425, 2.882, 0.666,0.96, 0.323, 0.64,0.619, 0.329
2.45, 2.986, 0.668,0.962, 0.31, 0.643,0.619, 0.316
2.475, 3.091, 0.671,0.963, 0.298, 0.647,0.619, 0.304
2.5, 3.2, 0.673,0.965, 0.287, 0.65,0.619, 0.293
2.525, 3.311, 0.675,0.966, 0.277, 0.652,0.619, 0.282
2.55, 3.426, 0.678,0.967, 0.267, 0.655,0.62, 0.271
2.575, 3.542, 0.679,0.968, 0.257, 0.657,0.619, 0.262
2.6, 3.662, 0.681,0.969, 0.248, 0.659,0.619, 0.252
2.625, 3.784, 0.682,0.969, 0.24, 0.661,0.619, 0.244
2.65, 3.91, 0.683,0.971, 0.232, 0.663,0.619, 0.235
2.675, 4.037, 0.685,0.971, 0.224, 0.665,0.62, 0.227
2.7, 4.168, 0.686,0.972, 0.217, 0.667,0.619, 0.22
2.725, 4.301, 0.687,0.973, 0.21, 0.668,0.619, 0.213
2.75, 4.438, 0.688,0.973, 0.203, 0.669,0.62, 0.206
2.775, 4.576, 0.689,0.973, 0.196, 0.671,0.619, 0.199
2.8, 4.718, 0.689,0.974, 0.19, 0.672,0.619, 0.193
2.825, 4.862, 0.691,0.974, 0.184, 0.673,0.62, 0.187
2.85, 5.01, 0.691,0.975, 0.179, 0.674,0.619, 0.181
2.875, 5.159, 0.692,0.975, 0.173, 0.675,0.619, 0.176
2.9, 5.312, 0.693,0.975, 0.168, 0.676,0.619, 0.17
2.925, 5.467, 0.693,0.976, 0.163, 0.676,0.619, 0.165
2.95, 5.626, 0.693,0.976, 0.159, 0.677,0.619, 0.161
2.975, 5.786, 0.694,0.976, 0.154, 0.678,0.619, 0.156
3.0, 5.95, 0.694,0.977, 0.15, 0.678,0.619, 0.152
